"timestamp","ip","mac","iface","note","is_spoof"2025-10-24T04:42:10.104507,172.19.65.1,16:d8:e4:80:e8:43,en0,,0
2025-10-24T04:42:36.112327,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:36.216236,172.19.66.37,4e:6b:33:a3:03:90,en0,,0
2025-10-24T04:42:36.216512,172.19.67.22,3e:14:21:bf:7a:92,en0,,0
2025-10-24T04:42:36.216928,172.19.65.228,e2:d4:e4:d3:e3:39,en0,,0
2025-10-24T04:42:36.419560,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:36.420292,0.0.0.0,34:7d:f6:ed:4d:88,en0,,0
2025-10-24T04:42:36.420759,172.19.73.106,34:7d:f6:ed:4d:88,en0,,0
2025-10-24T04:42:36.626061,172.19.65.133,c2:e4:a9:fb:d1:59,en0,,0
2025-10-24T04:42:36.797694,172.19.71.128,56:fb:a5:fe:a9:d2,en0,,0
2025-10-24T04:42:36.799918,172.19.70.216,aa:95:02:17:cd:9e,en0,,0
2025-10-24T04:42:36.835063,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:36.835247,172.19.70.57,cc:6b:1e:6c:fd:37,en0,,0
2025-10-24T04:42:36.932678,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:36.932936,172.19.68.240,ac:d1:b8:d8:26:35,en0,,0
2025-10-24T04:42:37.034805,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:37.137834,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:37.343493,172.19.73.106,34:7d:f6:ed:4d:88,en0,,0
2025-10-24T04:42:37.343781,172.19.73.106,34:7d:f6:ed:4d:88,en0,,0
2025-10-24T04:42:37.548634,172.19.68.18,2e:10:74:71:68:f0,en0,,0
2025-10-24T04:42:37.853262,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:37.955555,172.19.67.108,ca:d3:0a:b9:56:0d,en0,,0
2025-10-24T04:42:38.059690,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:38.166145,172.19.70.57,cc:6b:1e:6c:fd:37,en0,,0
2025-10-24T04:42:38.468159,172.19.73.106,34:7d:f6:ed:4d:88,en0,,0
2025-10-24T04:42:38.878972,172.19.72.242,ce:ff:b3:a9:17:3e,en0,,0
2025-10-24T04:42:39.185213,172.19.70.57,cc:6b:1e:6c:fd:37,en0,,0
2025-10-24T04:42:39.391240,172.19.66.197,62:51:bb:f0:8e:a0,en0,,0
2025-10-24T04:42:39.391553,172.19.73.106,34:7d:f6:ed:4d:88,en0,,0
2025-10-24T04:42:39.798961,172.19.67.160,ba:e2:ff:c6:39:bc,en0,,0
2025-10-24T04:42:39.854072,172.19.71.128,56:fb:a5:fe:a9:d2,en0,,0
2025-10-24T04:42:39.860042,172.19.67.17,fe:1c:c1:48:0b:d5,en0,,0
2025-10-24T04:42:40.311254,172.19.68.167,2a:eb:27:b7:b6:46,en0,,0
2025-10-24T04:42:40.618347,172.19.65.162,5e:6c:a7:35:c5:d5,en0,,0
2025-10-24T04:42:40.618658,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:40.724300,172.19.71.128,56:fb:a5:fe:a9:d2,en0,,0
2025-10-24T04:42:40.726042,172.19.65.35,be:d2:63:d7:c4:d6,en0,,0
2025-10-24T04:42:40.825783,172.19.72.242,ce:ff:b3:a9:17:3e,en0,,0
2025-10-24T04:42:41.130139,172.19.73.133,ea:0f:1e:fe:63:f0,en0,,0
2025-10-24T04:42:41.437286,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:41.847233,172.19.66.142,4e:04:b6:c3:6a:7e,en0,,0
2025-10-24T04:42:41.950245,172.19.72.138,8a:65:08:7e:e0:4c,en0,,0
2025-10-24T04:42:41.950501,172.19.73.19,ce:52:ca:a0:3f:d8,en0,,0
2025-10-24T04:42:42.563749,172.19.65.228,e2:d4:e4:d3:e3:39,en0,,0
2025-10-24T04:42:42.667125,172.19.70.229,06:36:42:c9:f3:6a,en0,,0
